,,PERMIT STATUS,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PERMIT SUB-TYPE,PERMIT GROUP,PERMIT NUMBER,PERMIT TYPE,PLAN CHECK SUBMITTAL DATE,SQUARE FOOTAGE,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT
Applications Submitted,478,Corrections Issued,1.0,,1.0,,2620 N JEFFRIES AVE,1 or 2 Family Dwelling,Building,15016-10000-26900,Bldg-Alter/Repair,2015-12-07 00:00:00,2000.0,"Convert Irregular 30'8"" X 28'3"" Rear Portion Of Sfd To A 2nd Unit Creating A Duplex. See Comments.",90065.0,1.0
Applications Submitted,75,Verifications in Progress,10.0,,1.0,,2620 W 16TH PL,1 or 2 Family Dwelling,Building,06014-20000-05702,Bldg-Addition,2006-06-22 00:00:00,1074.0,Add A Second Unit To The Existig Single Family Dwelling: 30'X20' Irr Shaped Ground Floor And 33'X20' Second Floor 2nd Unit Addition To The Existing Single Family Dwelling And Convert The Building To A Duplex.  Include The Remodel Of The Existing Adjacent Rooms Per Plan.  All Work Shall Comply With The Engineers Design And Plan.    ,90019.0,1.0
Permits with CofO,732,CofO Issued,9.0,2016-02-16 10:04:00,1.0,2015-01-08 09:32:00,2630-2632 S MAGNOLIA AVE,1 or 2 Family Dwelling,Building,14016-10000-21285,Bldg-Alter/Repair,,2242.0,"Convert 2nd Floor Of (E) Sfd To 2nd Dwelling (27'-2"" X 71'-7"")",90007.0,1.0
Permits with CofO,810,CofO Issued,10.0,2016-09-27 12:40:00,1.0,2015-09-15 11:59:00,2632 S WELLINGTON ROAD,1 or 2 Family Dwelling,Building,15010-30000-00344,Bldg-New,,649.0,(N) 2-Story Detached Second Dwelling Unit Per Za#120; Second Dwelling Unit Is Approximated 24.33'X21.67' Over 1-Car Garage And Patio,90016.0,1.0
Permits with CofO,584,CofO Issued,14.0,2014-08-15 12:20:00,1.0,2008-02-29 11:40:00,2654 E 7TH ST,1 or 2 Family Dwelling,Building,06010-40000-04438,Bldg-New,,842.0,2nd Unit At Rear Of Lot:  New 2-Story Single Family Dwelling With Attached Garage,90023.0,1.0
Permits with CofO,1076,CofO Corrected,1.0,,1.0,2014-06-20 08:31:00,2671 E MACEO ST,1 or 2 Family Dwelling,Building,14014-10000-00605,Bldg-Addition,,636.0,Existing Accessory Building To Be Converted To 2nd Dwelling Unit Pursuant To Ab-1866 And Change Roof Pitch To Existing One Story Building.,90065.0,1.0
Permits with CofO,972,Permit Finaled,5.0,,,2005-11-30 00:00:00,2675 N BEVERLY PARK,1 or 2 Family Dwelling,Building,04010-20001-00535,Bldg-Alter/Repair,,,"Change Work Description From ""New 1-Story Type V Fully Sprinklered Garage & Accessory Living Qtrs"" To ""New 1-Story Type V Fully Sprinklered 2nd Dwelling Unit"" (See Comments)",90210.0,1.0
Permits with CofO,222,CofO Issued,4.0,2008-09-24 13:44:00,1.0,2006-08-16 00:00:00,2681 W IVAN HILL TER,1 or 2 Family Dwelling,Building,05014-30000-12164,Bldg-Addition,,1382.0,Two Story Addition  (2nd Unit) With 1-Std Covered & 1-Compact Parking Slots. To (E) One Story S.F.D.,90039.0,1.0
Applications Submitted,361,Reviewed by Supervisor,14.0,,1.0,,2709 W PRISMO DR,1 or 2 Family Dwelling,Building,14010-10000-02114,Bldg-New,2014-06-30 00:00:00,1200.0,New 2-Story Single Dwelling With Attached 1-Car Carport Per Ab 1866,90065.0,1.0
Permits without CofO ,374,Issued,5.0,,1.0,2017-02-28 13:19:00,2716 S KRIM DR,1 or 2 Family Dwelling,Building,16010-20000-04410,Bldg-New,,1104.0,"New Irr. 44'-5"" X 30'-5"" Two-Story Second Dwelling Unit With Attached One-Car Garage Per Ordinance 184510. Nfpa-13d Fire Sprinklers Throughout.",90064.0,1.0
Permits without CofO ,80,Issued,5.0,,1.0,2010-12-03 08:03:00,2720 S DUNLEER PL,1 or 2 Family Dwelling,Building,10010-20000-01518,Bldg-New,,1152.0,"State Approved 24' X 48' 1story Sfd. Per Za 120 ""Comply With Department Order Effective Date 03/23/2010. Permit Will Expire 30 Days From Issuance Date""",90064.0,1.0
Applications Submitted,699,Submitted for Sprvsr Rvw,1.0,,1.0,,2723 W AVENUE 31,1 or 2 Family Dwelling,Building,17014-10000-02964,Bldg-Addition,2017-06-21 00:00:00,,"Convert (E) Patio To Adu Per Ab 2299 And Sb 1069; Interior Remodel And Addition To (E) Single Family Dwelling
""Comply With Department Order Effective Date 05/22/2017. Permit Will Expire 30 Days From Issuance Date"". All Permits Shall Be For The Same Time Period Limitation. Ceis Case Number Is 761795.",90065.0,1.0
Permits without CofO ,453,Issued,5.0,,1.0,2017-06-13 14:42:00,2726 S DUNLEER PL,1 or 2 Family Dwelling,Building,17014-30000-01730,Bldg-Addition,,441.5,Convert (E) Attached Garage And Room Avove Into Adu Per Ab2299 And Sb1069.,90064.0,1.0
Applications Submitted,489,Verifications in Progress,10.0,,,,2727 S THURMAN AVE,1 or 2 Family Dwelling,Building,16014-10000-00375,Bldg-Alter/Repair,2016-01-29 00:00:00,350.0,"Reduce Size And Convert Garage To Second Dwelling Unit. Per State Assemly Bill 1866 (All Work Per Wfpp) - ""Comply With Department Order Effective Date
11/06/2015. Permit Will Expire 30 Days From Issuance Date"".

",90016.0,1.0
Applications Submitted,342,Reviewed by Supervisor,1.0,,1.0,,2731 N LINCOLN PARK AVE,1 or 2 Family Dwelling,Building,14014-10000-01169,Bldg-Addition,2014-03-25 00:00:00,608.0,"Propose __X__ (__Sf) Addition To (E) Sfd And Convert Max. 608sf Portion To 2nd Dwelling Unit Per Za 2008-2460 (Zv)(Zaa)

*** Determine Area Added Without Permits
***Extension For Za Case Required For Setback And Unit Approval
",90031.0,1.0
Permits with CofO,121,CofO Issued,15.0,2007-05-24 10:55:00,1.0,2004-11-12 00:00:00,2750 S GAFFEY ST,1 or 2 Family Dwelling,Building,04010-40000-03305,Bldg-New,,1488.0,"New Single Family Dwelling  W/  Garage At Rear Of Exist'G Single Residence:  New Unit At 2nd Floor With 2 Bed Rooms / 1 Bath,  Projected Balcony (36 S.F.) At Rear,   Exterior Stl. Stair (Entrance To 2nd Unit) Per Std. Plan # 155,  & Garage At 1st Floor.    Elec., Hvac., & Plumb. Under Separate Permits.",90731.0,1.0
Permits without CofO ,483,Issued,11.0,,1.0,2017-07-19 12:40:00,2757 S BARRINGTON AVE,1 or 2 Family Dwelling,Building,17016-10000-17110,Bldg-Alter/Repair,,,Converting (E) Garage To Adu Per Ab 2299 And Sb 1069,90064.0,1.0
Permits without CofO ,400,Issued,11.0,,1.0,2017-04-11 12:14:00,2768 S STONER AVE,1 or 2 Family Dwelling,Building,17016-20000-07121,Bldg-Alter/Repair,,0.0,"Convert (E) 22'-0"" X 18'-0"" Rec. Room Into (N) Adu Per Ab 2299 And Sb 1069. Comply With Department Order Effective Date 03/21/2017. Permit Will Expire 30 Days From Issuance Date",90064.0,1.0
Permits with CofO,854,CofO Issued,4.0,2017-02-12 10:58:00,1.0,2016-02-10 14:03:00,2781-2783 N GLENDOWER AVE,1 or 2 Family Dwelling,Building,15016-10000-17927,Bldg-Alter/Repair,,0.0,"Convert Exist. Irr. 11'-5""X43'-9"" Storage Area  At Rear Of Exist. Single Family Dwelling To Second Dwelling Unit Per Za Memo 120. All Work Per Wfpp.",90027.0,1.0
Applications Submitted,632,PC Approved,5.0,,1.0,,2801 S MIDVALE AVE,1 or 2 Family Dwelling,Building,17014-30000-01723,Bldg-Addition,2017-04-18 00:00:00,,Convert Garage To Adu Per Ab2299 And Sb 1069,90064.0,1.0
Permits with CofO,390,CofO Issued,10.0,2012-01-04 10:38:00,1.0,2005-08-30 00:00:00,2809 W 30TH ST,1 or 2 Family Dwelling,Building,05014-20000-05684,Bldg-New,,1144.0,New 2nd Unit - Detached Second Sfd,90018.0,1.0
Applications Submitted,63,Verifications in Progress,13.0,,1.0,,2814 N KNOX AVE,1 or 2 Family Dwelling,Building,06010-10000-01090,Bldg-New,2006-03-15 00:00:00,644.0,New 2-Story Single Family Dwelling (644 Sq. Ft.) With Attached 2-Car Garage (659 Sq. Ft.) Second Dwelling At Rear.,90039.0,1.0
Applications Submitted,22,Corrections Issued,10.0,,1.0,,2819 1/2 S 7TH AVE,1 or 2 Family Dwelling,Building,04010-10000-05514,Bldg-New,2004-11-30 00:00:00,1020.0,New 1-Story Sfd [2nd Unit On Lot],90018.0,1.0
Permits without CofO ,32,Issued,14.0,,,2006-12-20 00:00:00,2821 E BLANCHARD ST,1 or 2 Family Dwelling,Building,06016-10000-17158,Bldg-Alter/Repair,,,Exterior Access Stair Relocation For The 2nd Unit On The 2nd Floor.,90033.0,1.0
Applications Submitted,706,Submitted,10.0,,,,2821 S HARCOURT AVE,1 or 2 Family Dwelling,Building,17010-10000-02530,Bldg-New,2017-06-28 00:00:00,,Proposed New Adu Unit At Rear Of (E) Sfd And Attached Two Car Garage,90016.0,1.0
Permits with CofO,260,CofO Issued,10.0,2009-02-25 14:35:00,1.0,2006-11-01 00:00:00,2823-2825 S 4TH AVE,1 or 2 Family Dwelling,Building,06014-30000-08875,Bldg-Addition,,2527.0,Second Unit Addition To (E) Sfd. Add (N) Bathroom To (E) Unit.,90018.0,1.0
Applications Submitted,301,Reviewed by Supervisor,9.0,,1.0,,284 E 47TH PL,1 or 2 Family Dwelling,Building,13010-10000-01608,Bldg-New,2013-06-05 00:00:00,336.0,New Second Dwelling Unit (16'X21') Per Za 120. ,90011.0,1.0
Permits without CofO ,54,Permit Expired,10.0,,1.0,2008-03-24 15:00:00,2840 S HARCOURT AVE,1 or 2 Family Dwelling,Building,07010-20000-05300,Bldg-New,,800.0,New 25' X 32'  2nd Unit W/Att Carport,90016.0,1.0
Permits with CofO,335,CofO Issued,10.0,2010-10-27 11:27:00,1.0,2010-07-28 16:17:00,2905 S 2ND AVE,1 or 2 Family Dwelling,Building,10016-10000-06396,Bldg-Alter/Repair,,504.0,Convert Garge Into 2nd Dwelling.,90018.0,1.0
Applications Submitted,411,PC Info Complete,10.0,,1.0,,2919 S POTOMAC AVE,1 or 2 Family Dwelling,Building,15010-10000-00740,Bldg-New,2015-03-03 00:00:00,953.0,(N) 2nd Story Dwelling Unit (Per Ab 1866) W/ First Story Being A 2-Car Carport And Storage.,90016.0,1.0
Permits with CofO,617,CofO Issued,4.0,2014-12-16 08:25:00,1.0,2012-03-12 11:35:00,2932 N WESTBROOK AVE,1 or 2 Family Dwelling,Building,11010-10000-01910,Bldg-New,,768.0,New Second Dwelling Per Ab 1866. Single Story (551sf) With Mezzanine (217 Sf). See Comments,90046.0,1.0
Permits without CofO ,432,Issued,13.0,,,2017-05-22 16:19:00,2934 N GLENEDEN ST,1 or 2 Family Dwelling,Building,16010-30002-04296,Bldg-Alter/Repair,,1116.0,Convert 2nd Floor Recroom To Adu And Convert 1st Floor Storage Into Rec Room.,90039.0,1.0
Applications Submitted,219,PC Approved,4.0,,,,2938 N WESTBROOK AVE,1 or 2 Family Dwelling,Building,11016-10000-21276,Bldg-Alter/Repair,2011-10-26 00:00:00,,"New 2nd Dwelling Unit; Structural, Grading And Life Safety Checked Under 11010-10000-01910; This Application For Zoning Check W/ Clearances. **To Be Withdrawn- Permit Issued Under 11010-10000-01910",90046.0,1.0
Applications Submitted,521,Reviewed by Supervisor,5.0,,1.0,,2941 S MIDVALE AVE,1 or 2 Family Dwelling,Building,16010-20000-04379,Bldg-New,2016-09-28 00:00:00,509.96,"New Irregular Shaped 34'0"" X 17'0"" Detached Second Dwelling Unit Per Ordinance 184510. Fully Sprinklered Per Nfpa 13d.",90064.0,1.0
Permits without CofO ,60,CofO in Progress,10.0,,1.0,2008-06-19 11:05:00,2946 S PALM GROVE AVE,1 or 2 Family Dwelling,Building,08014-10000-01152,Bldg-Addition,,2437.0,Create  2-Story  Duplex  --  Second Story Addition  (729 Sq.Ft. 2nd Unit)  ,90016.0,1.0
Permits with CofO,561,CofO Issued,13.0,2014-05-14 12:09:00,1.0,2013-07-25 15:57:00,2974-2976 N GLENMANOR PL,1 or 2 Family Dwelling,Building,12014-20000-04231,Bldg-Addition,,3045.0,"Addition Of 2nd Dwelling Unit On 1st And 2nd Story Levels (399 Sq. Ft.), Covered Roof Deck (175 Sq. Ft.), Per Za  Memorandum 120.  Addition To Main Dwelling (96 Sq. Ft.) At First Story Level.",90039.0,1.0
Permits without CofO ,240,Issued,11.0,,1.0,2015-11-17 09:36:00,30 N LATIMER ROAD,1 or 2 Family Dwelling,Building,15010-10000-00238,Bldg-New,,1160.0,(N) Accesory 2nd Dwelling Unit Per Ab1866. ,90402.0,1.0
Applications Submitted,626,Corrections Issued,11.0,,1.0,,3007 S THATCHER AVE,1 or 2 Family Dwelling,Building,17016-30000-09085,Bldg-Alter/Repair,2017-04-12 00:00:00,490.0,Convert Rec. Room/Storage Room To Adu Per Ab 2299 & Sb 1069 & Add Attched Patio Cover(? X ?).,90292.0,1.0
Applications Submitted,696,Corrections Issued,13.0,,1.0,,3008 N TYBURN ST,1 or 2 Family Dwelling,Building,17010-10000-02359,Bldg-New,2017-06-20 00:00:00,499.0,New Detached Adu (499sf) Per Wfpp  As Per Ab 2299 And Sd 1069,90039.0,1.0
Applications Submitted,662,Reviewed by Supervisor,11.0,,1.0,,3009 S YALE AVE,1 or 2 Family Dwelling,Building,17014-30000-02515,Bldg-New,2017-05-30 00:00:00,,"New Car Garage W 430 Sf, Adu On 2nd Story, (N) Covered Carport. 2 Parking Provided",90292.0,1.0
Applications Submitted,552,Reviewed by Supervisor,13.0,,1.0,,3014 N FINCH ST,1 or 2 Family Dwelling,Building,16010-10000-04466,Bldg-New,2016-09-30 00:00:00,,"New Detached Second Dwelling And Attached Parking Garage  Per Ordinance 184510
Comply With Department Order Effective Date
08/30/2016. Permit Will Expire 30 Days From Issuance Date",90039.0,1.0
Permits with CofO,840,CofO Issued,8.0,2016-12-14 16:29:00,1.0,2013-04-24 09:58:00,3014 W 74TH ST,1 or 2 Family Dwelling,Building,13010-70000-00552,Bldg-New,,354.0,New Single Family Dwelling Per Za 120 (Ab 1866),90043.0,1.0
Permits without CofO ,104,Issued,8.0,,1.0,2012-10-09 10:23:00,3020 W 74TH ST,1 or 2 Family Dwelling,Building,12010-70000-00969,Bldg-New,,899.0,Proposed New 3 Story Sfd W/ 2nd Flr Deck & Roof Deck (Above 2nd Story) W/ Stairshaft. (2nd Dwelling Unit Per Za Memorandum No. 120).,90043.0,1.0
Permits without CofO ,288,Issued,13.0,,1.0,2016-03-18 16:12:00,3020 W BELLEVUE AVE,1 or 2 Family Dwelling,Building,15010-20000-02922,Bldg-New,,420.0,"(N) 21'-0""X 20'-0"" Garage (First Story) & Second Dwelling Per Za #120 (Second Story), Type Vb Construction.

",90026.0,1.0
Applications Submitted,661,Reviewed by Supervisor,8.0,,,,3021 W 74TH ST,1 or 2 Family Dwelling,Building,17014-10000-02463,Bldg-Addition,2017-05-25 00:00:00,580.0,"140  Sq Ft  Addition On Garage And Convert To Adu Per Ab 2299  Add Partitions, Kitchen And Bathroom; ""Comply With Department Order Effective Date
04/12/2017. Permit Will Expire 30 Days From Issuance Date"".",90043.0,1.0
Permits with CofO,796,CofO Issued,5.0,2016-08-19 12:30:00,1.0,2014-06-26 14:28:00,3039 S BENTLEY AVE,1 or 2 Family Dwelling,Building,14014-20000-00987,Bldg-Addition,,1150.36,"New 2nd Dwelling Unit, To Be Attached To Existing Detached Garage, Of 1150.36sf, Per Za Memo 120. Fire Sprinklered.",90034.0,1.0
Permits without CofO ,473,Issued,10.0,,1.0,2017-06-30 12:08:00,3044-3044 1/2 S WELLINGTON ROAD,1 or 2 Family Dwelling,Building,17016-10000-15757,Bldg-Alter/Repair,,460.0,Convert Portion Of (460 Sf) (E) Garage To Adu Per Ab 1069 And Sb2299.,90016.0,1.0
Permits with CofO,1048,Permit Finaled,14.0,,,2013-01-17 13:11:00,3081-3083 E LANFRANCO ST,1 or 2 Family Dwelling,Building,13016-10000-01033,Bldg-Alter/Repair,,,Obtain A Second Address For A Legal Second Unit Obtained With Permit Issuance La51556/77 And Certificate Of Occupancy Issued 2/2/78.( No Plans ),90063.0,1.0
Permits without CofO ,389,Issued,4.0,,0.0,2017-03-22 15:58:00,3093 N ELLINGTON DR,1 or 2 Family Dwelling,Building,15016-10000-26839,Bldg-Alter/Repair,,,Convert (E) Dwelling To A 2nd Dwelling Per Ordinance No. 184510,90068.0,1.0
Applications Submitted,91,Verifications in Progress,14.0,,1.0,,3102 E 5TH ST,1 or 2 Family Dwelling,Building,07014-20000-01356,Bldg-Addition,2007-02-28 00:00:00,1012.5,"Propose Two Story 24'X22' Second Unit Addition To (E) Sfd: Consist Of 472.5 Sf Attaced 2-Car Garage With 540 Sf 2 Bedroom, Total = 1012.5 Sf",90063.0,1.0
Applications Submitted,459,PC Info Complete,14.0,,1.0,,311 N SAN PASCUAL AVE,1 or 2 Family Dwelling,Building,15014-20000-04320,Bldg-Addition,2015-09-25 00:00:00,1056.0,48'X 30' Irregular Shaped Addition To Rear Of Single Family Dwelling To Add Second Unit,90042.0,1.0
Permits without CofO ,435,Issued,10.0,,1.0,2017-05-24 11:15:00,3113 S HUTCHISON AVE,1 or 2 Family Dwelling,Building,17010-20000-01007,Bldg-New,,1007.0,"New 30'6"" X 22'0"" 2nd Unit And 2-Car Garage. Relocate 2 Open Parking Stalls. All Work Per Engineering.",90034.0,1.0
Applications Submitted,158,Reviewed by Supervisor,14.0,,1.0,,3117 N PUEBLO AVE,1 or 2 Family Dwelling,Building,10010-10000-00287,Bldg-New,2010-02-16 00:00:00,811.0,"New 1-Story Single Family Dwelling (Second Unit)  (811 Sq Ft) With Attached 1-Car Garage.**""Code Enforcement Order To Comply Issued With Effective Date 11/20/2009 By Inspector John Polikolsky""**",90032.0,1.0
Applications Submitted,633,Corrections Issued,5.0,,1.0,,3120 S DANNYHILL DR,1 or 2 Family Dwelling,Building,17016-10000-10306,Bldg-Alter/Repair,2017-04-24 00:00:00,390.0,Convert (E) Attached Garage (19.5' X 21') To Adu Per Ab2299 And Sb 1069  All Construction To Be Per Wfpp.,90064.0,1.0
Applications Submitted,343,Verifications in Progress,14.0,,1.0,,3123 N KENNETH DR,1 or 2 Family Dwelling,Building,14016-10000-06510,Bldg-Alter/Repair,2014-04-07 00:00:00,0.0,"Interior Remodel To Convert (E) Two Story Single Family Dwelling To A Duplex Pursuant To Ab 1866.
""Comply With Department Order Effective Date
02/27/2014. Permit Will Expire 30 Days From Issuance Date"".",90032.0,1.0
Permits without CofO ,339,Issued,13.0,,1.0,2016-11-29 08:42:00,3131 W GARDEN AVE,1 or 2 Family Dwelling,Building,15010-10000-02347,Bldg-New,,858.0,"New Detached Second Dwelling Unit Per Ordinance # 184510.  1st Floor With 1-Car Garage, 1-Car Carport, And Recreation Room; Second Floor Is A Second Dwelling Unit With Two Covered Decks. One Open Standard Parking Stall On Site. 
",90039.0,1.0
Applications Submitted,21,Verifications in Progress,1.0,,1.0,,3132 E CAZADOR ST,1 or 2 Family Dwelling,Building,04010-10000-05476,Bldg-New,2004-11-24 00:00:00,629.0,New Second Unit With 2-Car Garage.,90065.0,1.0
Permits without CofO ,317,Issued,10.0,,1.0,2016-10-24 15:18:00,3136 S VERA AVE,1 or 2 Family Dwelling,Building,16014-10000-01132,Bldg-Addition,,2542.0,Remodel To Existing House And Addition Of 2nd Unit And New Garage,90034.0,1.0
Permits with CofO,81,CofO Issued,8.0,2006-09-29 12:55:00,1.0,2006-05-12 00:00:00,314 E 101ST ST,1 or 2 Family Dwelling,Building,06014-30000-01608,Bldg-Addition,,1330.87,Remodel (E) 1-Story & Expand To Add 2 Bedrooms.   Add Second Dwelling Unit At The Rear ( 2-Br/1-Bath).   Add (N) 3-Car Attached Carport.   All  Construction Shall Be Per Type V Sheet. ,90003.0,1.0
Applications Submitted,698,PC Assigned,13.0,,,,3150 W LARGA AVE,1 or 2 Family Dwelling,Building,17014-10000-02957,Bldg-Addition,2017-06-21 00:00:00,,"New 2-Story 16'-0"" X 27'-10"" 826 Sf Adu Attached To Existing Garage @ Rear.
Nonsprinklered. R3/U Occupancy. Type Vb.

Comply With Department Order Effective Date 11/11/2016. Permit Will Expire 30 Days From Issuance Date"". All Permits Shall Be For The Same Time Period Limitation. If Additional Assistance Is Needed, Please Call Inspector Ron Kidwell At (213)252-3055 Of General Enforcement Central.  Ceis Case Number Is 738709.",90039.0,1.0
Permits with CofO,331,CofO Issued,14.0,2010-08-30 15:09:00,1.0,2010-04-06 09:45:00,3174-3176 N VAQUERO AVE,1 or 2 Family Dwelling,Building,09014-10000-03286,Bldg-Addition,,642.0,"New Attached 2nd Unit, 530 Sq.Ft Per Ab1866. 112 Sq.Ft Addition To Existing Unit.",90032.0,1.0
Permits with CofO,914,Permit Finaled,9.0,,1.0,2003-08-15 00:00:00,320-322 W 73RD ST,1 or 2 Family Dwelling,Building,03014-70000-05359,Bldg-Addition,,1861.0,"Add 2nd Unit @ Rear Of (E) Sfd, Convert Sfd To Duplex.  Interior Remodel.  Proposed 979 Sft Addition To A One Story Type V-N Bldg.  ",90003.0,1.0
Applications Submitted,670,Corrections Issued,11.0,,1.0,,3216 S FEDERAL AVE,1 or 2 Family Dwelling,Building,17014-30000-02597,Bldg-Addition,2017-06-02 00:00:00,,Addition And Convert (E) Garage To Adu Per Ab 2299 And Sb 1069,90066.0,1.0
Permits without CofO ,407,Issued,14.0,,1.0,2017-04-24 14:19:00,3219 N FARNSWORTH AVE,1 or 2 Family Dwelling,Building,17010-20000-00467,Bldg-New,,1160.0,"New Detached 40' X 29' Adu Per Ab 2299 And Sb 1069
""Comply With Department Order Effective Date
10/20/2016. Permit Will Expire 30 Days From Issuance Date""",90032.0,1.0
Permits with CofO,284,CofO Issued,14.0,2009-07-28 13:39:00,1.0,2004-11-29 00:00:00,3232 1/2 E WINTER ST,1 or 2 Family Dwelling,Building,04010-10000-04171,Bldg-New,,916.0,New 2-Story Tyoe V-N Building:  [960 Sf] Sfd (2nd Unit On Lot) Over  [840 Sf] 2-Car Garage/Storage/Laudry Area,90063.0,1.0
Permits with CofO,191,CofO Issued,10.0,2008-06-06 11:40:00,1.0,2006-02-24 00:00:00,3240-3242 S HUTCHISON AVE,1 or 2 Family Dwelling,Building,05014-30000-11674,Bldg-Addition,,1375.0,Addition To Single Family Dwelling And Add A 2nd Unit @ 2nd Floor Over Existing Sfd.,90034.0,1.0
Permits without CofO ,475,Issued,4.0,,1.0,2017-07-03 15:36:00,3259 W WAVERLY DR,1 or 2 Family Dwelling,Building,17016-10000-15003,Bldg-Alter/Repair,,0.0,"Convert Approximately 20' X 20' (E) Servant'S Quarter To (N) Adu Per Ab 2299 & Sb 1069 By Adding A Kitchen. No Change In Building Perimeter. [See Comments.] 
",90027.0,1.0
Applications Submitted,119,Reviewed by Supervisor,11.0,,1.0,,326 E BROOKS AVE,1 or 2 Family Dwelling,Building,07010-30000-05259,Bldg-New,2007-12-14 00:00:00,1731.0,"New Sfd - 2nd Unit On The Lot; 2-Story, 1731 Sq Ft, Type V Construction.",90291.0,1.0
Applications Submitted,501,Reviewed by Supervisor,15.0,,1.0,,326 E IMPERIAL HWY,1 or 2 Family Dwelling,Building,16010-20000-01556,Bldg-New,2016-04-15 00:00:00,1022.0," (N) Fully Sprinklered 972 Sq Ft One Story Second Dwelling W/ Attached 36'-4"" X 9'-2"" Carport. 46'-6"" X 23'-5"" All Work To Be Completed Per Wfpp",90061.0,1.0
Permits with CofO,788,CofO Issued,9.0,2016-08-06 11:29:00,1.0,2015-11-18 11:07:00,326-326 1/2 W 54TH ST,1 or 2 Family Dwelling,Building,15014-30000-04260,Bldg-Addition,,2356.0,Addition To (E) Sfd To Create (N) Attached 2nd Unit,90037.0,1.0
Permits without CofO ,124,Permit Expired,4.0,,1.0,2013-07-18 12:33:00,3263 1/2 N BENNETT DR,1 or 2 Family Dwelling,Building,13016-10000-10243,Bldg-Alter/Repair,,0.0,"Convert (E) 850 Sf Accessory Living Quarter On Top Of Detached Garage  (98010-20000-02319; 99vn49306)  In Rear Of Lot To Second Unit Per Ab-1866 (Za-120).  Conversion Only, No Construction.",90068.0,1.0
Permits with CofO,872,CofO Issued,4.0,2017-05-04 09:32:00,1.0,2017-03-06 13:34:00,3263 N BENNETT DR,1 or 2 Family Dwelling,Building,17016-10000-02703,Bldg-Alter/Repair,,0.0,"Conversion Of (E) 850sf Accessory Living Quarter On Second Floor Of Detached Garage To Adu Per Ab2299 And Sb1069.  Only Construction Is To Add Kitchen Space (Interior, Non-Structural Remodel).",90068.0,1.0
Applications Submitted,673,Corrections Issued,5.0,,1.0,,327 S HIGHLAND AVE,1 or 2 Family Dwelling,Building,17014-30000-02688,Bldg-Addition,2017-06-07 00:00:00,473.0,Conversion Of Existing Garage With Rec-Room Above To Adu Per Ab2299 And Sb1069,90036.0,1.0
Applications Submitted,455,PC Info Complete,8.0,,1.0,,327-329 E 113TH ST,1 or 2 Family Dwelling,Building,15014-10000-04215,Bldg-Addition,2015-09-15 00:00:00,2224.0,748 S.F. Addition To (E) Sfd (1-Story). New Attached 1-Story 2nd Unit To Existing Sfd To Create Duplex (763 S.F.) Entire Existing Unit Is Being Removed But East Wall And Foundation Which Will Remain.,90061.0,1.0
Permits with CofO,999,Permit Finaled,9.0,,,2007-09-05 10:32:00,328-330 E 79TH ST,1 or 2 Family Dwelling,Building,07014-10001-02139,Bldg-Alter/Repair,,950.2,"Supplemental Permit To 07014-10000-02139	Provide A 5'- 6"" Side Yard Setback For The Proposed Second Unit In Lieu Of 4'- 0""
",90003.0,1.0
Permits with CofO,1034,Permit Finaled,15.0,,,2012-01-18 14:31:00,329 E 115TH ST,1 or 2 Family Dwelling,Building,11014-20001-02548,Bldg-Alter/Repair,,1100.0,Supplemental Permit To # 10014-20000-02548 To Change Work Description To New 34'X 51.17' One Story Single Family Dwelling With Attached Carport Per Za-120. Also Revise Plans To Match The Work Description.,90061.0,1.0
Applications Submitted,60,PC Approved,1.0,,1.0,,329 N BIXEL ST,1 or 2 Family Dwelling,Building,04010-20001-02525,Bldg-New,2006-02-28 00:00:00,480.0,New 16'X30' Second Dwelling Unit.,90026.0,1.0
Permits with CofO,1043,CofO Corrected,9.0,,1.0,2012-10-04 11:05:00,331-333 E 74TH ST,1 or 2 Family Dwelling,Building,12014-70000-01914,Bldg-Addition,,2631.0,"Proposed 2nd Dwelling Unit Addn (52'4""X24') Over Existing 1-Story Sfd To Create 2-Story Duplex. Remove Rear 4'6""X24' Portion Of Ex House To Provide Parking Space. See Comments.",90003.0,1.0
Applications Submitted,135,Reviewed by Supervisor,11.0,,1.0,,3316 S PACIFIC AVE,1 or 2 Family Dwelling,Building,08014-30000-04149,Bldg-Addition,2008-09-09 00:00:00,1303.0,Addition Of A 3-Story Second Unit With Garage On The 1st Floor To An Existing One Story Single Family Dwelling.,90292.0,1.0
Applications Submitted,448,Reviewed by Supervisor,1.0,,1.0,,3319 E MACEO ST,1 or 2 Family Dwelling,Building,15014-20000-03769,Bldg-New,2015-08-18 00:00:00,400.0,New 2-Car Garage W/2nd Unit @ Second Floor Per Za Memorandum #120.  <Sprinklers Req'D Throughout>,90065.0,1.0
Applications Submitted,460,Verifications in Progress,10.0,,1.0,,3319 W MONT CLAIR ST,1 or 2 Family Dwelling,Building,15010-70000-03472,Bldg-New,2015-09-28 00:00:00,1028.0,"Add Detached New Second Dwelling Unit With Attached 4-Car Garage""Comply With Department Order Effective Date 06/16/2014.  Permit Will Expire 30 Days From Issuance Date"" Ceis Case Number 509836",90018.0,1.0
